zip_code,school_name,school_rating,grade_levels,percent_low_income
24012,Noel C. Taylor Academy At Oakland,,Ungraded,
23901,Prince Edward County Vocational Technical,,Ungraded,
23060,Va. Randolph Ed. Center,,Ungraded,
22306,Achievement Integrity And Maturity,,Ungraded,
22207,Hb Woodlawn Secondary Prgm.,,Ungraded,
24572,Amherst Educational Center,,Ungraded,
22207,Langston High School Continuation Program,,Ungraded,
22312,Alc At Montrose,,Ungraded,
23116,The Georgetown School,,Ungraded,
23116,The Hanover Center For Trades And Tech.,,Ungraded,
23060,New Start - Basic Alt. Center,,Ungraded,
22960,Redirection Alt. Ed.,,Ungraded,
22960,Turning Point Alt. Ed.,,Ungraded,
22551,John J. Wright Ed. And Cultural Center,,Ungraded,
23834,Colonial Heights Technical Center,,Ungraded,
23608,Newport Academy,,Ungraded,
23602,Aviation Academy,,Ungraded,
23320,Camp Young,,Ungraded,
23803,I. B. Pittman Vocational Center,,Ungraded,
23220,Capital City Program,,Ungraded,
24017,Forest Park Academy,,Ungraded,
23231,Generating Recovery Of Academic Direction,,Ungraded,
22204,Governor's Academy for Career and Technical Education In Arlington,,Ungraded,
23060,Pace,,Ungraded,
22310,Edison High School Academy,,Ungraded,
23323,Grassfield High School Governor's Stem Academy,,Ungraded,
23456,"Gov Stem Academy for Engineering, Marketing and Information Technology Studies",,Ungraded,
22042,Falls Church High School Academy,,Ungraded,
20151,Chantilly High School Academy,,Ungraded,
20175,The Loudoun Governor's Career & Technical Academy,,Ungraded,
24266,Stem for Life Governor's Academy,,Ungraded,
23851,Fresh Start Center,,Ungraded,
22043,Marshall High School Academy,,Ungraded,
20164,Loudoun Academy of Science,,Ungraded,
23075,General Academic Development,,Ungraded,
24153,Governor's Stem Academy at the Burton Center for Arts and Technology,,Ungraded,
23230,The Governor's Career and Technical Education Academy for Stem In Richmond,,Ungraded,
23513,The Academy Of International Studies At Rosemont,,Ungraded,
23005,Soar Academy,,Ungraded,
22553,Gateway Academy,,Ungraded,
23060,Center For Diversified Studies,,Ungraded,
23223,New Bridge Learning Center,,Ungraded,
22205,Family Education Center for Parenting Teens,,Ungraded,
22151,Plum Center For Lifelong Learning,,Ungraded,
23462,The Renaissance Academy,,Ungraded,
22030,Fairfax High School Academy,,Ungraded,
23075,Iseap Prgm,,Ungraded,
22307,West Potomac High School Academy,,Ungraded,
22554,Stafford Academy for Technology (Stat),,Ungraded,
22201,New Directions Alternative High School Program,,Ungraded,
23832,Governor's Career and Technical Academy for Engineering Studies,,Ungraded,
22015,ALC at Burke,,Ungraded,
23504,Traep - Norfolk,,Ungraded,
23504,Norfolk Re-Ed,,Ungraded,
23462,Traep - Virginia Beach,,Ungraded,
23434,Suffolk Re-Ed,,Ungraded,
23462,Virginia Beach Secep - Re-Ed,,Ungraded,
23452,Virginia Beach Secep,,Ungraded,
23707,Portsmouth Re-Ed,,Ungraded,
23322,Chesapeake Secep Center,,Ungraded,
20187,Mt. Vista Reg. Gov. School,,Ungraded,
22842,Massanutten Gov. School/Integrated Environ. Sci.,,Ungraded,
24416,Reg Alt Ed Center/Buena Vista,,Ungraded,
20110,The Governor's School @ Innovation Park,,Ungraded,
23060,Evening School Of Excellence,,Ungraded,
23219,Yvonne B. Miller High School,,6-12,0
23124,Bridging Communities Reg Cte Center,,Ungraded,
24523,Bedford County Alternative Education Center,,Ungraded,
23223,Empowerment Academy,,Ungraded,
23508,Norfolk Alternative High,,Ungraded,
23508,Norfolk Alternative Middle,,Ungraded,
23666,Greater Peninsula Governor's Stem Academy,,Ungraded,
23434,Fostering Innovation And Relevance Through Stem And Trades (,,Ungraded,
22572,Northern Neck Gov Stem Academy/Agric & Maritime Studies,,Ungraded,
22902,Monticello Governor's Health Sciences Academy,,Ungraded,
23124,Bridging Communities Stem Academy,,Ungraded,
23220,Coderva Regional High,,Ungraded,
24523,Governor's Health Sciences Academy,,Ungraded,
24083,Stem - Health Academy,,Ungraded,
24343,Blue Ridge Crossroads Governor's Academy For Technical Educa,,Ungraded,
23112,Chesterfield Career & Technical Center At Hull,,Ungraded,
23112,Academy 360,,Ungraded,
23112,Chesterfield Co Governor's Health/Science Academy,,Ungraded,
23112,Ccps Online,,Ungraded,
23832,Phoenix Center,,Ungraded,
23040,Superintendent's Region 8 Gov's Health/Science Academy,,Ungraded,
22043,Marshall Governor's Stem Academy,,Ungraded,
22042,Falls Church Governor's Health Sciences Academy,,Ungraded,
20151,Chantilly Governor's Stem Academy,,Ungraded,
22307,Clifford S. Hardison Governor's Health Sciences Academy,,Ungraded,
23061,Gloucester & Mathews Counties Gov's Health Sciences Academy,,Ungraded,
23666,Hampton City Public Schools Gov Health Sciences Academy,,Ungraded,
23666,Hampton Public Schools Architecture & Applied Arts Governor,,Ungraded,
22801,Harrisonburg Highs. Governor's Stem Academy,,Ungraded,
22801,Bluestone Elementary,,Ungraded,
20176,Academy Of Engineering And Technology,,Ungraded,
20148,Brambleton Middle School,,Ungraded,
24502,Lynchburg Regional Governor's Stem Academy,,Ungraded,
20110,Baldwin Intermediate School,,Ungraded,
24073,Montgomery County Governor's Stem Academy,,Ungraded,
23606,Newport News & York County Governor's Health Science Academy,,Ungraded,
23605,Heritage High School Governor's Stem Academy,,Ungraded,
22026,Covington-Harper Elementary School,,Ungraded,
24084,Pulaski County Public Schools Governor's Stem Academy,,Ungraded,
23230,Aspire Academy,,Ungraded,
22572,Richmond County Learning Center,,Ungraded,
22630,New Warren County Middle School,,Ungraded,
22630,Skyline Middle School,,Ungraded,
22601,Daniel Morgan Intermediate School,,Ungraded,
23842,Prince George Education Center,,6-12,
22553,Courthouse Academy Prgm.,,Ungraded,
